     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          117          117            0           45         1481           43        21660         4000   bba2XL-double      4000    h264     320      240      24          0     42.523   no   HTTP/3.0      0.000      0.000     45.117     -11954.774          0.045
         2          245          127            0           45         1489           47        23638         8000   bba2XL-double      4000    h264     320      240      24       4000     41.635   no   HTTP/3.0      0.000      0.235     35.917     -23909.548          0.045
         3          488          242            0           88         1676          101        50728        11757   bba2XL-double      4000    h264     320      240      24       8000     43.356   no   HTTP/3.0      0.000      0.213     36.049        135.678          0.060
         4          799          310            0          128         1759          136        68193        15446   bba2XL-double      4000    h264     320      240      24      12000     43.981   no   HTTP/3.0      0.000      0.212     36.168        224.461          0.077
         5         1189          388            0          177         1780          172        86336        19057   bba2XL-double      4000    h264     480      360      24      16000     44.548   no   HTTP/3.0      0.000      0.213     36.310        352.964          0.097
         6         1580          390            0          217         1784          173        86986        22666   bba2XL-double      4000    h264     480      360      24      20000     44.362   no   HTTP/3.0      0.000      0.218     36.450        530.401          0.117
         7         2208          625            0          255         1831          286       143054        26038   bba2XL-double      4000    h264     480      360      24      24000     44.381   no   HTTP/3.0      0.000      0.225     36.588        748.162          0.137
         8         3041          831            0          323         1848          384       192018        29206   bba2XL-double      4000    h264     480      360      24      28000     44.473   no   HTTP/3.0      0.000      0.228     36.754       1004.027          0.160
         9         4009          966            0          378         1858          448       224426        32239   bba2XL-double      4000    h264     480      360      24      32000     44.482   no   HTTP/3.0      0.000      0.232     36.925       1327.074          0.184
        10         5255         1246            0          509         1867          581       290930        34993   bba2XL-double      4000    h264     854      480      24      36000     43.328   no   HTTP/3.0      0.000      0.222     37.159       1705.429          0.217
        11         6708         1451            0          577         1874          679       339926        37540   bba2XL-double      4000    h264     854      480      24      40000     44.478   no   HTTP/3.0      0.000      0.221     37.390       2214.520          0.250
        12         8602         1891            0          782         1880          889       444517        39647   bba2XL-double      4000    h264    1280      720      24      44000     44.543   no   HTTP/3.0      0.000      0.199     37.711       2792.271          0.294
        13        36569        27966            0         1008          164         1152       576366        15680   bba2XL-double      4000    h264    1280      720      24      48000     43.187   no   HTTP/3.0      0.000      0.166     38.105       3574.824          0.349
        14        40481          213            0           45          860           45        22923        15768   bba2XL-double      4000    h264     320      240      24      52000     48.792   no   HTTP/3.0      0.000      0.135     38.004       2656.577          0.327
        15        40823          340            0           88          935           79        39779        19427   bba2XL-double      4000    h264     320      240      24      56000     45.660   no   HTTP/3.0      0.000      0.119     37.887       2701.803          0.311
        16        41310          486            0          128          941          114        57211        22940   bba2XL-double      4000    h264     320      240      24      60000     45.197   no   HTTP/3.0      0.000      0.114     37.801       2790.586          0.300
        17        42030          718            0          177          945          169        84814        26221   bba2XL-double      4000    h264     480      360      24      64000     45.525   no   HTTP/3.0      0.000      0.116     37.746       2919.089          0.293
        18        42844          812            0          217          946          192        96086        29407   bba2XL-double      4000    h264     480      360      24      68000     45.688   no   HTTP/3.0      0.000      0.123     37.713       3096.526          0.289
        19        43835          987            0          255          947          233       116857        32417   bba2XL-double      4000    h264     480      360      24      72000     45.525   no   HTTP/3.0      0.000      0.133     37.697       3314.287          0.287
        20        45448         1613            0          323          950          383       191548        34804   bba2XL-double      4000    h264     480      360      24      76000     43.899   no   HTTP/3.0      0.000      0.148     37.707       3570.152          0.289
        21        47373         1922            0          378          948          455       227873        36880   bba2XL-double      4000    h264     480      360      24      80000     46.682   no   HTTP/3.0      0.000      0.164     37.734       3893.199          0.293
        22        49051         1678            0          509          949          398       199081        39202   bba2XL-double      4000    h264     854      480      24      84000     45.984   no   HTTP/3.0      0.000      0.181     37.804       4271.554          0.303
        23        60810        11758            0          577          147          434       217385        31444   bba2XL-double      4000    h264     854      480      24      88000     44.349   no   HTTP/3.0      0.000      0.197     37.885       4780.645          0.315
        24        80418          150            0           45         1146           42        21494        15836   bba2XL-double      4000    h264     320      240      24      92000     48.946   no   HTTP/3.0      0.000      0.179     37.820       4293.346          0.304
