     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          144          143            0           46         1412           50        25249         4000    bba2XL-base      4000    h264     320      240      25          0     42.589   no   HTTP/3.0      0.000      0.000     45.126     -11953.484          0.047
         2          226           81            0           46         1364           27        13814         8000    bba2XL-base      4000    h264     320      240      25       4000     43.108   no   HTTP/3.0      0.000      0.240     35.926     -23906.968          0.047
         3          419          191            0           91         1610           76        38439        11808    bba2XL-base      4000    h264     320      240      25       8000     43.416   no   HTTP/3.0      0.000      0.216     36.063        139.548          0.062
         4          750          330            0          136         1735          143        71587        15477    bba2XL-base      4000    h264     320      240      25      12000     43.473   no   HTTP/3.0      0.000      0.214     36.194        231.199          0.080
         5         1186          434            0          185         1798          195        97575        19041    bba2XL-base      4000    h264     480      360      25      16000     44.149   no   HTTP/3.0      0.000      0.216     36.341        367.960          0.101
         6         1733          546            0          231         1819          248       124194        22494    bba2XL-base      4000    h264     480      360      25      20000     44.128   no   HTTP/3.0      0.000      0.221     36.493        553.052          0.123
         7         2384          649            0          276         1834          297       148836        25844    bba2XL-base      4000    h264     480      360      25      24000     44.127   no   HTTP/3.0      0.000      0.228     36.646        784.193          0.145
         8         3236          850            0          365         1853          393       196900        28992    bba2XL-base      4000    h264     480      360      25      28000     42.877   no   HTTP/3.0      0.000      0.226     36.844       1060.356          0.172
         9         4276         1038            0          461         1859          482       241275        31953    bba2XL-base      4000    h264     854      480      25      32000     44.442   no   HTTP/3.0      0.000      0.222     37.073       1425.540          0.204
        10         5475         1198            0          552         1865          558       279312        34754    bba2XL-base      4000    h264     854      480      25      36000     44.194   no   HTTP/3.0      0.000      0.219     37.319       1886.569          0.239
        11         6978         1501            0          642         1834          688       344184        37251    bba2XL-base      4000    h264     854      480      25      40000     44.341   no   HTTP/3.0      0.000      0.219     37.577       2438.620          0.276
        12         8851         1871            0          824         1850          865       432886        39378    bba2XL-base      4000    h264    1024      576      25      44000     44.045   no   HTTP/3.0      0.000      0.205     37.906       3081.154          0.322
        13        33737        24883            0         1005          162         1009       504637        18493    bba2XL-base      4000    h264    1024      576      25      48000     44.236   no   HTTP/3.0      0.000      0.186     38.280       3905.975          0.374
        14        40498          246            0           46          804           49        24723        15732    bba2XL-base      4000    h264     320      240      25      52000     50.886   no   HTTP/3.0      0.000      0.149     38.167       2993.840          0.351
        15        40878          378            0           91          942           89        44514        19352    bba2XL-base      4000    h264     320      240      25      56000     44.071   no   HTTP/3.0      0.000      0.130     38.040       3040.356          0.334
        16        41448          568            0          136          944          134        67086        22783    bba2XL-base      4000    h264     320      240      25      60000     44.238   no   HTTP/3.0      0.000      0.122     37.949       3132.007          0.321
        17        42227          777            0          185          948          184        92092        26004    bba2XL-base      4000    h264     480      360      25      64000     44.187   no   HTTP/3.0      0.000      0.124     37.888       3268.768          0.313
        18        43259         1031            0          231          948          244       122196        28972    bba2XL-base      4000    h264     480      360      25      68000     44.353   no   HTTP/3.0      0.000      0.131     37.853       3453.860          0.309
        19        44483         1222            0          276          949          290       145040        31749    bba2XL-base      4000    h264     480      360      25      72000     44.292   no   HTTP/3.0      0.000      0.143     37.837       3685.001          0.307
        20        46070         1586            0          365          950          376       188370        34163    bba2XL-base      4000    h264     480      360      25      76000     42.621   no   HTTP/3.0      0.000      0.160     37.856       3961.164          0.310
        21        48049         1978            0          461          949          469       234802        36184    bba2XL-base      4000    h264     854      480      25      80000     44.984   no   HTTP/3.0      0.000      0.179     37.905       4326.348          0.317
        22        56021         7969            0          552          288          575       287720        32213    bba2XL-base      4000    h264     854      480      25      84000     44.035   no   HTTP/3.0      0.000      0.198     37.979       4787.377          0.328
        23        80314        24290            0          642          108          657       328980        11920    bba2XL-base      4000    h264     854      480      25      88000    119.608   no   HTTP/3.0      0.000      0.214     38.074       5339.428          0.341
        24        81585         1268            0          552         1842          584       292029        14650    bba2XL-base      4000    h264     854      480      25      92000     45.591   no   HTTP/3.0      0.000      0.232     38.134       5800.996          0.350
        25        82642         1055            0          461         1859          490       245226        17594    bba2XL-base      4000    h264     854      480      25      96000     45.497   no   HTTP/3.0      0.000      0.247     38.164       6171.003          0.355
