     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          162          161            0           45         1591           42        32022         6000   bba2XL-double      6000    h264     320      240      24          0     42.735   no   HTTP/3.0      0.000      0.000     40.522     -17954.071          0.046
         2          340          177            0           45         1664           49        36817        12000   bba2XL-double      6000    h264     320      240      24       6000     43.155   no   HTTP/3.0      0.000      0.235     26.722     -35908.142          0.046
         3          668          327            0           89         1778           96        72680        17672   bba2XL-double      6000    h264     320      240      24      12000     41.715   no   HTTP/3.0      0.000      0.213     26.854        137.787          0.061
         4         1065          396            0          128         1786          117        88409        23275   bba2XL-double      6000    h264     320      240      24      18000     44.094   no   HTTP/3.0      0.000      0.213     26.972        227.507          0.078
         5         1690          623            0          178         1830          190       142557        28651   bba2XL-double      6000    h264     480      360      24      24000     43.978   no   HTTP/3.0      0.000      0.213     27.116        356.432          0.098
         6         2465          773            0          219         1845          237       178291        33877   bba2XL-double      6000    h264     480      360      24      30000     43.720   no   HTTP/3.0      0.000      0.218     27.258        535.024          0.118
         7         3385          920            0          258         1854          284       213300        38957   bba2XL-double      6000    h264     480      360      24      36000     44.152   no   HTTP/3.0      0.000      0.225     27.397        754.872          0.138
         8         4649         1261            0          320         1847          388       291231        43693   bba2XL-double      6000    h264     480      360      24      42000     44.351   no   HTTP/3.0      0.000      0.228     27.559       1012.934          0.161
         9         5860         1208            0          372         1867          375       281958        48483   bba2XL-double      6000    h264     480      360      24      48000     44.319   no   HTTP/3.0      0.000      0.233     27.724       1333.799          0.184
        10         7732         1870            0          513         1880          586       439532        52611   bba2XL-double      6000    h264     854      480      24      54000     44.071   no   HTTP/3.0      0.000      0.222     27.963       1706.203          0.217
        11        12920         5187            0          579          790          683       512575        53423   bba2XL-double      6000    h264     854      480      24      60000     44.458   no   HTTP/3.0      0.000      0.220     28.194       2220.128          0.250
        12        42715        29793            0          792          176          874       655889        29629   bba2XL-double      6000    h264    1280      720      24      66000    121.036   no   HTTP/3.0      0.000      0.197     28.521       2799.895          0.296
        13        49709         6991            0         1015          952         1109       832125        28636   bba2XL-double      6000    h264    1280      720      24      72000     44.172   no   HTTP/3.0      0.000      0.164     28.918       3592.443          0.351
        14        63876         3471            0           45           81           47        35509        20469   bba2XL-double      6000    h264     320      240      24      78000    592.987   no   HTTP/3.0      0.000      0.134     28.817       2669.231          0.329
        15        69338         5460            0           89           95           86        64909        21007   bba2XL-double      6000    h264     320      240      24      84000    121.598   no   HTTP/3.0      0.000      0.119     28.699       2715.160          0.313
        16        78223         8883            0          128           95          140       105626        18122   bba2XL-double      6000    h264     320      240      24      90000    121.551   no   HTTP/3.0      0.000      0.113     28.613       2804.880          0.302
