     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1           67           66            0           46         1139           37         9404         2000           bba2      2000    h264     320      240      24          0     40.953   no   HTTP/3.0      0.000      0.000     49.724      -5953.681          0.046
         2          133           66            0           46         1302           42        10748         4000           bba2      2000    h264     320      240      24       2000     41.269   no   HTTP/3.0      0.000      0.232     45.124     -11907.362          0.046
         3          208           73            0           46         1321           48        12059         5926           bba2      2000    h264     320      240      24       4000     42.272   no   HTTP/3.0      0.000      0.232     45.124        138.957          0.046
         4          284           74            0           46         1336           49        12361         7851           bba2      2000    h264     320      240      24       6000     41.724   no   HTTP/3.0      0.000      0.232     45.124        185.276          0.046
         5          416          130            0           90         1488           96        24195         9719           bba2      2000    h264     320      240      24       8000     43.008   no   HTTP/3.0      0.000      0.213     45.217        231.595          0.055
         6          584          166            0          131         1647          136        34193        11551           bba2      2000    h264     320      240      24      10000     42.619   no   HTTP/3.0      0.000      0.204     45.305        322.150          0.068
         7          812          227            0          179         1662          188        47172        13323           bba2      2000    h264     480      360      24      12000     42.324   no   HTTP/3.0      0.000      0.198     45.418        453.482          0.084
         8         1095          280            0          221         1744          244        61047        15041           bba2      2000    h264     480      360      24      14000     44.047   no   HTTP/3.0      0.000      0.195     45.538        633.212          0.101
         9         1430          333            0          260         1764          293        73464        16706           bba2      2000    h264     480      360      24      16000     45.090   no   HTTP/3.0      0.000      0.196     45.662        854.827          0.119
        10         1802          371            0          327         1785          331        82796        18334           bba2      2000    h264     480      360      24      18000     42.905   no   HTTP/3.0      0.000      0.193     45.811       1115.550          0.140
        11         2124          320            0          382         1762          281        70489        20013           bba2      2000    h264     480      360      24      20000     44.007   no   HTTP/3.0      0.000      0.193     45.966       1443.243          0.162
        12         2666          540            0          523         1695          457       114435        21472           bba2      2000    h264     854      480      24      22000     43.874   no   HTTP/3.0      0.000      0.179     46.185       1825.358          0.192
        13         3363          695            0          594         1839          639       159790        22775           bba2      2000    h264     854      480      24      24000     44.624   no   HTTP/3.0      0.000      0.172     46.402       2348.769          0.223
        14         4123          756            0          795         1842          696       174096        24016           bba2      2000    h264    1280      720      24      26000     44.076   no   HTTP/3.0      0.000      0.149     46.699       2942.816          0.264
        15         5460         1335            0         1032         1867         1246       311698        24680           bba2      2000    h264    1280      720      24      28000     44.438   no   HTTP/3.0      0.000      0.113     47.068       3738.607          0.315
        16         6867         1405            0         1230         1870         1314       328563        25273           bba2      2000    h264    1280      720      24      30000     44.265   no   HTTP/3.0      0.000      0.080     47.475       4771.229          0.372
        17         9112         2242            0         1494         1882         2109       527499        25029           bba2      2000    h264    1280      720      24      32000     44.302   no   HTTP/3.0      0.000      0.042     47.946       6001.996          0.438
        18        39739        30625         5598         1494          117         1792       448114         2000           bba2      2000    h264    1280      720      24      34000     43.724   no   HTTP/3.0      0.000      0.037     57.659      24290.806        -19.632
        19        42979         3235         1239         1230          935         1512       378146         2000           bba2      2000    h264    1280      720      24      36000     42.996   no   HTTP/3.0      0.000      0.067     59.365      28974.530        -19.576
        20        45347         2366          368         1032          950         1124       281024         2000           bba2      2000    h264    1280      720      24      38000     44.636   no   HTTP/3.0      0.000      0.102     51.202      14119.007        -19.950
        21        47145         1796            0          795          949          852       213218         2202           bba2      2000    h264    1280      720      24      40000     44.238   no   HTTP/3.0      0.000      0.134     49.418      10960.967        -22.005
        22        48574         1426            0          594          949          676       169168         2774           bba2      2000    h264     854      480      24      42000     44.192   no   HTTP/3.0      0.000      0.155     48.905      10249.270          0.573
        23        52738         4162         1390          523          281          585       146395         2000           bba2      2000    h264     854      480      24      44000     44.229   no   HTTP/3.0      0.000      0.170     50.673      14872.045        -20.114
        24        62890        10149         8151          382           95          482       120661         2000           bba2      2000    h264     480      360      24      46000    120.866   no   HTTP/3.0      0.000      0.174     60.552      39565.864        -19.538
        25        71359         8467         6469          327           95          402       100687         2000           bba2      2000    h264     480      360      24      48000    121.346   no   HTTP/3.0      0.000      0.173     65.973      55076.135        -19.515
        26        77339         5977         3979          260           95          284        71021         2000           bba2      2000    h264     480      360      24      50000    121.376   no   HTTP/3.0      0.000      0.167     60.490      42753.888        -19.558
        27        79820         2478          480          221          194          240        60216         2000           bba2      2000    h264     480      360      24      52000    121.143   no   HTTP/3.0      0.000      0.159     53.443      24969.395        -19.715
        28        80120          298            0          179         1275          189        47498         3700           bba2      2000    h264     480      360      24      54000     44.088   no   HTTP/3.0      0.000      0.148     49.026      13170.240        -22.124
        29        80301          178            0          131         1651          146        36736         5520           bba2      2000    h264     320      240      24      56000     43.591   no   HTTP/3.0      0.000      0.133     48.412      11813.174          0.504
        30        80429          126            0           90         1562           98        24609         7392           bba2      2000    h264     320      240      24      58000     42.767   no   HTTP/3.0      0.000      0.117     48.314      11862.952          0.491
        31        80566          134            0           90         1543          103        25848         9255           bba2      2000    h264     320      240      24      60000     43.277   no   HTTP/3.0      0.000      0.103     48.223      11953.507          0.478
        32        80741          174            0          131         1669          145        36310        11081           bba2      2000    h264     320      240      24      62000     41.797   no   HTTP/3.0      0.000      0.093     48.145      12044.062          0.467
        33        80956          213            0          179         1644          175        43773        12866           bba2      2000    h264     480      360      24      64000     42.514   no   HTTP/3.0      0.000      0.088     48.083      12175.394          0.458
        34        81232          273            0          221         1739          237        59367        14590           bba2      2000    h264     480      360      24      66000     44.052   no   HTTP/3.0      0.000      0.086     48.033      12355.124          0.451
        35        81562          327            0          260         1756          287        71814        16261           bba2      2000    h264     480      360      24      68000     44.600   no   HTTP/3.0      0.000      0.087     47.993      12576.739          0.446
        36        81976          411            0          327         1795          368        92223        17848           bba2      2000    h264     480      360      24      70000     44.120   no   HTTP/3.0      0.000      0.092     47.969      12837.462          0.442
        37        82349          370            0          382         1777          328        82230        19475           bba2      2000    h264     480      360      24      72000     44.334   no   HTTP/3.0      0.000      0.099     47.957      13165.155          0.441
        38        82970          619            0          523         1830          566       141629        20854           bba2      2000    h264     854      480      24      74000     43.799   no   HTTP/3.0      0.000      0.110     47.973      13547.270          0.443
        39        83710          737            0          594         1844          679       169899        22115           bba2      2000    h264     854      480      24      76000     43.840   no   HTTP/3.0      0.000      0.123     47.999      14070.681          0.447
        40        84659          948            0          795         1856          879       219953        23167           bba2      2000    h264    1280      720      24      78000     42.921   no   HTTP/3.0      0.000      0.137     48.062      14664.728          0.456
        41        85792         1130            0         1032         1857         1049       262368        24034           bba2      2000    h264    1280      720      24      80000     44.028   no   HTTP/3.0      0.000      0.148     48.163      15460.519          0.470
        42        87395         1599            0         1230         1874         1498       374609        24431           bba2      2000    h264    1280      720      24      82000     44.513   no   HTTP/3.0      0.000      0.154     48.292      16493.141          0.488
        43        89536         2137            0         1494         1882         2010       502737        24291           bba2      2000    h264    1280      720      24      84000     43.913   no   HTTP/3.0      0.000      0.150     48.459      17723.908          0.511
        44        91579         2039            0         1494         1880         1917       479339        24248           bba2      2000    h264    1280      720      24      86000     44.510   no   HTTP/3.0      0.000      0.149     48.615      19218.718          0.534
        45        93429         1847            0         1494         1879         1735       433980        24399           bba2      2000    h264    1280      720      24      88000     42.719   no   HTTP/3.0      0.000      0.151     48.765      20713.528          0.555
        46        95490         2058            0         1494         1881         1936       484074        24338           bba2      2000    h264    1280      720      24      90000     44.048   no   HTTP/3.0      0.000      0.156     48.908      22208.338          0.575
        47        97633         2140            0         1494         1881         2013       503386        24196           bba2      2000    h264    1280      720      24      92000     44.399   no   HTTP/3.0      0.000      0.162     49.045      23703.148          0.595
        48        99579         1943            0         1494         1880         1826       456666        24250           bba2      2000    h264    1280      720      24      94000     44.380   no   HTTP/3.0      0.000      0.169     49.176      25197.958          0.614
        49       101689         2106            0         1494         1881         1981       495386        24140           bba2      2000    h264    1280      720      24      96000     43.956   no   HTTP/3.0      0.000      0.178     49.302      26692.768          0.632
        50       103996         2302            0         1494         1883         2167       541946        23834           bba2      2000    h264    1280      720      24      98000     44.176   no   HTTP/3.0      0.000      0.187     49.423      28187.578          0.649
