     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          158          158            0           45         1621           42        32022         6000    bba2XL-base      6000    h264     320      240      24          0     43.027   no   HTTP/3.0      0.000      0.000     40.522     -17954.071          0.046
         2          343          184            0           45         1600           49        36817        12000    bba2XL-base      6000    h264     320      240      24       6000     42.925   no   HTTP/3.0      0.000      0.235     26.722     -35908.142          0.046
         3          679          334            0           89         1740           96        72680        17665    bba2XL-base      6000    h264     320      240      24      12000     42.640   no   HTTP/3.0      0.000      0.213     26.854        137.787          0.061
         4         1082          401            0          128         1763          117        88409        23263    bba2XL-base      6000    h264     320      240      24      18000     44.379   no   HTTP/3.0      0.000      0.213     26.972        227.507          0.078
         5         1706          623            0          178         1830          190       142557        28639    bba2XL-base      6000    h264     480      360      24      24000     44.058   no   HTTP/3.0      0.000      0.213     27.116        356.432          0.098
         6         2517          809            0          219         1763          237       178291        33829    bba2XL-base      6000    h264     480      360      24      30000     44.803   no   HTTP/3.0      0.000      0.218     27.258        535.024          0.118
         7         3440          921            0          258         1852          284       213300        38907    bba2XL-base      6000    h264     480      360      24      36000     45.134   no   HTTP/3.0      0.000      0.225     27.397        754.872          0.138
         8         4690         1248            0          320         1866          388       291231        43658    bba2XL-base      6000    h264     480      360      24      42000     44.494   no   HTTP/3.0      0.000      0.228     27.559       1012.934          0.161
         9         5923         1232            0          372         1830          375       281958        48425    bba2XL-base      6000    h264     480      360      24      48000     44.220   no   HTTP/3.0      0.000      0.233     27.724       1333.799          0.184
        10         7795         1870            0          513         1880          586       439532        52554    bba2XL-base      6000    h264     854      480      24      54000     43.711   no   HTTP/3.0      0.000      0.222     27.963       1706.203          0.217
        11        15825         8029            0          579          510          683       512575        50524    bba2XL-base      6000    h264     854      480      24      60000     44.643   no   HTTP/3.0      0.000      0.220     28.194       2220.128          0.250
        12        42894        27068            0          792          193          874       655889        29456    bba2XL-base      6000    h264    1280      720      24      66000    128.700   no   HTTP/3.0      0.000      0.197     28.521       2799.895          0.296
        13        51144         8248            0         1015          807         1109       832125        27206    bba2XL-base      6000    h264    1280      720      24      72000     44.799   no   HTTP/3.0      0.000      0.164     28.918       3592.443          0.351
        14        65412         3629            0           45           78           47        35509        18938    bba2XL-base      6000    h264     320      240      24      78000    756.296   no   HTTP/3.0      0.000      0.134     28.817       2669.231          0.329
        15        70874         5459            0           89           95           86        64909        19477    bba2XL-base      6000    h264     320      240      24      84000    121.633   no   HTTP/3.0      0.000      0.119     28.699       2715.160          0.313
        16        79763         8887            0          128           95          140       105626        16589    bba2XL-base      6000    h264     320      240      24      90000    121.999   no   HTTP/3.0      0.000      0.113     28.613       2804.880          0.302
