     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          166          165            0           46         1634           44        33717         6000    bba2XL-base      6000    h264     320      240      25          0     42.971   no   HTTP/3.0      0.000      0.000     40.528     -17953.119          0.047
         2          287          120            0           46         1530           30        22954        12000    bba2XL-base      6000    h264     320      240      25       6000     43.321   no   HTTP/3.0      0.000      0.241     26.728     -35906.238          0.047
         3          609          321            0           92         1765           94        70826        17678    bba2XL-base      6000    h264     320      240      25      12000     42.793   no   HTTP/3.0      0.000      0.217     26.866        140.643          0.062
         4         1110          499            0          137         1790          148       111702        23177    bba2XL-base      6000    h264     320      240      25      18000     44.213   no   HTTP/3.0      0.000      0.215     26.999        232.953          0.081
         5         1758          646            0          186         1831          197       147916        28530    bba2XL-base      6000    h264     480      360      25      24000     44.293   no   HTTP/3.0      0.000      0.216     27.147        370.749          0.102
         6         2572          812            0          232         1813          245       184119        33716    bba2XL-base      6000    h264     480      360      25      30000     44.113   no   HTTP/3.0      0.000      0.222     27.299        557.025          0.124
         7         3517          943            0          277         1856          291       218825        38771    bba2XL-base      6000    h264     480      360      25      36000     44.125   no   HTTP/3.0      0.000      0.229     27.452        789.428          0.146
         8         4783         1264            0          367         1868          393       295148        43506    bba2XL-base      6000    h264     480      360      25      42000     44.531   no   HTTP/3.0      0.000      0.227     27.651       1066.964          0.173
         9         6296         1511            0          464         1871          471       353518        47993    bba2XL-base      6000    h264     854      480      25      48000     44.174   no   HTTP/3.0      0.000      0.222     27.882       1434.074          0.206
        10         8101         1803            0          555         1878          564       423422        52189    bba2XL-base      6000    h264     854      480      25      54000     43.929   no   HTTP/3.0      0.000      0.220     28.129       1898.328          0.241
        11        19925        11822            0          646          335          660       495507        46365    bba2XL-base      6000    h264     854      480      25      60000     44.399   no   HTTP/3.0      0.000      0.220     28.389       2453.640          0.278
        12        43330        23403            0          828          227          887       665757        28961    bba2XL-base      6000    h264    1024      576      25      66000    126.299   no   HTTP/3.0      0.000      0.206     28.719       3099.812          0.323
        13        52229         8897            0         1008          714         1060       795053        26062    bba2XL-base      6000    h264    1024      576      25      72000     44.209   no   HTTP/3.0      0.000      0.187     29.095       3928.680          0.376
        14        63757         3411            0           46           84           47        35844        20535    bba2XL-base      6000    h264     320      240      25      78000    507.368   no   HTTP/3.0      0.000      0.150     28.981       3013.460          0.353
        15        69598         5839            0           92           95           92        69417        20694    bba2XL-base      6000    h264     320      240      25      84000    121.934   no   HTTP/3.0      0.000      0.130     28.853       3060.341          0.335
        16        78598         8998            0          137           95          142       106983        17694    bba2XL-base      6000    h264     320      240      25      90000    121.953   no   HTTP/3.0      0.000      0.123     28.762       3152.651          0.323
