     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          143          143            0           46         1412           50        25249         4000           bba2      4000    h264     320      240      25          0     42.760   no   HTTP/3.0      0.000      0.000     45.126     -11953.484          0.047
         2          225           81            0           46         1364           27        13814         8000           bba2      4000    h264     320      240      25       4000     42.475   no   HTTP/3.0      0.000      0.240     35.926     -23906.968          0.047
         3          417          190            0           91         1618           76        38439        11809           bba2      4000    h264     320      240      25       8000     42.494   no   HTTP/3.0      0.000      0.216     36.063        139.548          0.062
         4          747          329            0          136         1740          143        71587        15479           bba2      4000    h264     320      240      25      12000     42.978   no   HTTP/3.0      0.000      0.214     36.194        231.199          0.080
         5         1189          440            0          185         1774          195        97575        19038           bba2      4000    h264     480      360      25      16000     44.118   no   HTTP/3.0      0.000      0.216     36.341        367.960          0.101
         6         1736          546            0          231         1819          248       124194        22491           bba2      4000    h264     480      360      25      20000     44.112   no   HTTP/3.0      0.000      0.221     36.493        553.052          0.123
         7         2386          649            0          276         1834          297       148836        25841           bba2      4000    h264     480      360      25      24000     44.022   no   HTTP/3.0      0.000      0.228     36.646        784.193          0.145
         8         3238          851            0          365         1850          393       196900        28990           bba2      4000    h264     480      360      25      28000     43.359   no   HTTP/3.0      0.000      0.226     36.844       1060.356          0.172
         9         4277         1037            0          461         1861          482       241275        31952           bba2      4000    h264     854      480      25      32000     44.344   no   HTTP/3.0      0.000      0.222     37.073       1425.540          0.204
        10         5477         1198            0          552         1865          558       279312        34752           bba2      4000    h264     854      480      25      36000     44.953   no   HTTP/3.0      0.000      0.219     37.319       1886.569          0.239
        11         6984         1505            0          642         1829          688       344184        37245           bba2      4000    h264     854      480      25      40000     44.413   no   HTTP/3.0      0.000      0.219     37.577       2438.620          0.276
        12         8829         1843            0          824         1879          865       432886        39401           bba2      4000    h264    1024      576      25      44000     44.352   no   HTTP/3.0      0.000      0.205     37.906       3081.154          0.322
        13        35902        27071            0         1005          149         1009       504637        16328           bba2      4000    h264    1024      576      25      48000     44.023   no   HTTP/3.0      0.000      0.186     38.280       3905.975          0.374
        14        43206         7301            0          824          490          895       447680        13025           bba2      4000    h264    1024      576      25      52000    120.535   no   HTTP/3.0      0.000      0.214     38.511       4550.450          0.406
        15        45939         2732            0          642          940          642       321060        14292           bba2      4000    h264     854      480      25      56000     44.858   no   HTTP/3.0      0.000      0.248     38.626       5010.697          0.422
        16        48333         2392            0          552          949          567       283964        15899           bba2      4000    h264     854      480      25      60000     44.698   no   HTTP/3.0      0.000      0.276     38.682       5472.265          0.430
        17        54923         6588            0          461          277          457       228748        13310           bba2      4000    h264     854      480      25      64000     44.442   no   HTTP/3.0      0.000      0.296     38.695       5842.272          0.432
        18        71482        16558         3249          365           95          393       196810         4000           bba2      4000    h264     480      360      25      68000    121.837   no   HTTP/3.0      0.000      0.305     41.368      15858.611        -20.025
        19        80224         8740         4742          276          132          290       145040         4000           bba2      4000    h264     480      360      25      72000    121.294   no   HTTP/3.0      0.000      0.304     44.883      30271.753        -19.772
        20        80757          530            0          231         1798          238       119128         7468           bba2      4000    h264     480      360      25      76000     44.247   no   HTTP/3.0      0.000      0.297     42.237      20710.872        -19.932
        21        81179          420            0          185         1794          188        94219        11047           bba2      4000    h264     480      360      25      80000     44.477   no   HTTP/3.0      0.000      0.285     38.466       6623.915          0.400
        22        81511          331            0          136         1761          145        72877        14715           bba2      4000    h264     320      240      25      84000     44.558   no   HTTP/3.0      0.000      0.268     38.381       6712.345          0.388
        23        81937          424            0          185         1798          190        95296        18290           bba2      4000    h264     480      360      25      88000     44.065   no   HTTP/3.0      0.000      0.260     38.318       6849.106          0.379
        24        82482          543            0          231         1819          246       123488        21746           bba2      4000    h264     480      360      25      92000     44.105   no   HTTP/3.0      0.000      0.258     38.273       7034.198          0.373
