     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1           78           78            0           45         1333           52        13000         2000   bba2XL-double      2000    h264     320      240      24          0     43.557   no   HTTP/3.0      0.000      0.000     49.720      -5954.348          0.046
         2          136           58            0           45         1164           33         8442         4000   bba2XL-double      2000    h264     320      240      24       2000     42.181   no   HTTP/3.0      0.000      0.231     45.120     -11908.696          0.046
         3          209           71            0           45         1309           46        11623         5928   bba2XL-double      2000    h264     320      240      24       4000     42.443   no   HTTP/3.0      0.000      0.231     45.120        136.956          0.046
         4          280           69            0           45         1285           44        11088         7858   bba2XL-double      2000    h264     320      240      24       6000     42.623   no   HTTP/3.0      0.000      0.231     45.120        182.608          0.046
         5          419          137            0           89         1412           96        24192         9720   bba2XL-double      2000    h264     320      240      24       8000     43.402   no   HTTP/3.0      0.000      0.212     45.211        228.260          0.054
         6          602          182            0          131         1642          149        37361        11537   bba2XL-double      2000    h264     320      240      24      10000     45.660   no   HTTP/3.0      0.000      0.203     45.300        317.543          0.067
         7          800          196            0          178         1658          162        40625        13340   bba2XL-double      2000    h264     480      360      24      12000     45.226   no   HTTP/3.0      0.000      0.197     45.412        448.630          0.083
         8         1080          278            0          221         1738          241        60411        15061   bba2XL-double      2000    h264     480      360      24      14000     44.972   no   HTTP/3.0      0.000      0.194     45.533        626.981          0.100
         9         1364          283            0          262         1732          245        61298        16777   bba2XL-double      2000    h264     480      360      24      16000     45.649   no   HTTP/3.0      0.000      0.194     45.659        848.581          0.118
        10         1635          270            0          334         1736          234        58617        18507   bba2XL-double      2000    h264     480      360      24      18000     44.278   no   HTTP/3.0      0.000      0.191     45.814       1111.118          0.140
        11         1955          319            0          396         1761          280        70244        20188   bba2XL-double      2000    h264     480      360      24      20000     44.098   no   HTTP/3.0      0.000      0.189     45.978       1445.467          0.163
        12         2390          434            0          522         1795          389        97393        21753   bba2XL-double      2000    h264     854      480      24      22000     45.496   no   HTTP/3.0      0.000      0.177     46.194       1841.593          0.193
        13         3138          745            0          595         1838          684       171230        23006   bba2XL-double      2000    h264     854      480      24      24000     46.501   no   HTTP/3.0      0.000      0.171     46.412       2363.879          0.224
        14         4058          918            0          791         1849          848       212222        24086   bba2XL-double      2000    h264    1280      720      24      26000     46.412   no   HTTP/3.0      0.000      0.150     46.705       2959.370          0.265
        15         5300         1240            0         1032         1829         1134       283605        24844   bba2XL-double      2000    h264    1280      720      24      28000     45.631   no   HTTP/3.0      0.000      0.114     47.074       3750.552          0.316
        16         6940         1638            0         1244         1873         1534       383619        25204   bba2XL-double      2000    h264    1280      720      24      30000     46.254   no   HTTP/3.0      0.000      0.079     47.487       4783.234          0.374
        17         8929         1987            0         1546         1877         1865       466331        25216   bba2XL-double      2000    h264    1280      720      24      32000     45.458   no   HTTP/3.0      0.000      0.033     47.981       6028.012          0.443
        18        29731         1538            0           45           58           44        11210         6415   bba2XL-double      2000    h264     320      240      24      34000    707.269   no   HTTP/3.0      0.000      0.010     47.896       4572.414          0.421
