     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          147          146            0           46         1383           50        25249         4000   bba2XL-double      4000    h264     320      240      25          0     42.671   no   HTTP/3.0      0.000      0.000     45.126     -11953.484          0.047
         2          230           82            0           46         1347           27        13814         8000   bba2XL-double      4000    h264     320      240      25       4000     41.345   no   HTTP/3.0      0.000      0.240     35.926     -23906.968          0.047
         3          425          193            0           91         1593           76        38439        11805   bba2XL-double      4000    h264     320      240      25       8000     43.721   no   HTTP/3.0      0.000      0.216     36.063        139.548          0.062
         4          786          359            0          136         1595          143        71587        15445   bba2XL-double      4000    h264     320      240      25      12000     44.099   no   HTTP/3.0      0.000      0.214     36.194        231.199          0.080
         5         1224          435            0          185         1794          195        97575        19008   bba2XL-double      4000    h264     480      360      25      16000     44.883   no   HTTP/3.0      0.000      0.216     36.341        367.960          0.101
         6         1771          546            0          231         1819          248       124194        22461   bba2XL-double      4000    h264     480      360      25      20000     44.872   no   HTTP/3.0      0.000      0.221     36.493        553.052          0.123
         7         2420          648            0          276         1837          297       148836        25812   bba2XL-double      4000    h264     480      360      25      24000     43.085   no   HTTP/3.0      0.000      0.228     36.646        784.193          0.145
         8         3276          854            0          365         1844          393       196900        28957   bba2XL-double      4000    h264     480      360      25      28000     46.981   no   HTTP/3.0      0.000      0.226     36.844       1060.356          0.172
         9         4317         1039            0          461         1857          482       241275        31917   bba2XL-double      4000    h264     854      480      25      32000     44.938   no   HTTP/3.0      0.000      0.222     37.073       1425.540          0.204
        10         5518         1200            0          552         1862          558       279312        34716   bba2XL-double      4000    h264     854      480      25      36000     45.516   no   HTTP/3.0      0.000      0.219     37.319       1886.569          0.239
        11         7029         1509            0          642         1824          688       344184        37206   bba2XL-double      4000    h264     854      480      25      40000     44.634   no   HTTP/3.0      0.000      0.219     37.577       2438.620          0.276
        12         8874         1844            0          824         1878          865       432886        39361   bba2XL-double      4000    h264    1024      576      25      44000     45.175   no   HTTP/3.0      0.000      0.205     37.906       3081.154          0.322
        13        33565        24689            0         1005          163         1009       504637        18670   bba2XL-double      4000    h264    1024      576      25      48000     44.846   no   HTTP/3.0      0.000      0.186     38.280       3905.975          0.374
        14        40501          256            0           46          772           49        24723        15735   bba2XL-double      4000    h264     320      240      25      52000     55.069   no   HTTP/3.0      0.000      0.149     38.167       2993.840          0.351
        15        40880          378            0           91          942           89        44514        19356   bba2XL-double      4000    h264     320      240      25      56000     43.685   no   HTTP/3.0      0.000      0.130     38.040       3040.356          0.334
        16        41450          568            0          136          944          134        67086        22787   bba2XL-double      4000    h264     320      240      25      60000     44.914   no   HTTP/3.0      0.000      0.122     37.949       3132.007          0.321
        17        42229          777            0          185          948          184        92092        26009   bba2XL-double      4000    h264     480      360      25      64000     43.821   no   HTTP/3.0      0.000      0.124     37.888       3268.768          0.313
        18        43262         1031            0          231          948          244       122196        28977   bba2XL-double      4000    h264     480      360      25      68000     44.499   no   HTTP/3.0      0.000      0.131     37.853       3453.860          0.309
        19        44487         1223            0          276          948          290       145040        31753   bba2XL-double      4000    h264     480      360      25      72000     44.968   no   HTTP/3.0      0.000      0.143     37.837       3685.001          0.307
        20        46076         1587            0          365          949          376       188370        34164   bba2XL-double      4000    h264     480      360      25      76000     44.256   no   HTTP/3.0      0.000      0.160     37.856       3961.164          0.310
        21        48084         2006            0          461          936          469       234802        36157   bba2XL-double      4000    h264     854      480      25      80000     43.936   no   HTTP/3.0      0.000      0.179     37.905       4326.348          0.317
        22        55860         7775            0          552          296          575       287720        32381   bba2XL-double      4000    h264     854      480      25      84000     43.012   no   HTTP/3.0      0.000      0.198     37.979       4787.377          0.328
        23        78900         2587            0           46           72           47        23516        13342   bba2XL-double      4000    h264     320      240      25      88000    719.914   no   HTTP/3.0      0.000      0.178     37.906       4328.358          0.316
        24        80249         1346            0           91          280           94        47191        15994   bba2XL-double      4000    h264     320      240      25      92000    120.252   no   HTTP/3.0      0.000      0.167     37.838       4374.874          0.306
