     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1            0            0            0           45   -9223372036854775           52        13000         2000           bba2      2000    h264     320      240      24          0      0.396   no   HTTP/3.0      0.000      0.000     49.720      -5954.348          0.046
         2            1            0            0           45   -9223372036854775           33         8442         4000           bba2      2000    h264     320      240      24       2000      0.443   no   HTTP/3.0      0.000      0.231     45.120     -11908.696          0.046
         3            2            0            0           45   -9223372036854775           46        11623         6000           bba2      2000    h264     320      240      24       4000      0.388   no   HTTP/3.0      0.000      0.231     45.120     -11863.044          0.046
         4            5            3            0           89        60312           90        22617         7997           bba2      2000    h264     320      240      24       6000      2.616   no   HTTP/3.0      0.000      0.211     45.226        182.608          0.057
         5          146          139            0          131         2034          141        35345         9857           bba2      2000    h264     320      240      24       8000      1.661   no   HTTP/3.0      0.000      0.205     45.330        271.891          0.071
         6          377          230            0          178         1711          196        49200        11626           bba2      2000    h264     480      360      24      10000     43.508   no   HTTP/3.0      0.000      0.202     45.456        402.978          0.089
         7          645          266            0          221         1718          228        57124        13359           bba2      2000    h264     480      360      24      12000     46.377   no   HTTP/3.0      0.000      0.202     45.588        581.329          0.108
         8          975          326            0          262         1764          287        71916        15030           bba2      2000    h264     480      360      24      14000     44.269   no   HTTP/3.0      0.000      0.205     45.723        802.929          0.127
         9         1302          326            0          334         1764          287        71915        16703           bba2      2000    h264     480      360      24      16000     45.001   no   HTTP/3.0      0.000      0.204     45.887       1065.466          0.150
        10         1590          287            0          396         1754          251        62926        18416           bba2      2000    h264     480      360      24      18000     42.943   no   HTTP/3.0      0.000      0.204     46.060       1399.815          0.175
        11         2089          498            0          522         1811          451       112770        19917           bba2      2000    h264     854      480      24      20000     44.157   no   HTTP/3.0      0.000      0.194     46.288       1795.941          0.207
        12         2555          464            0          595         1800          417       104402        21452           bba2      2000    h264     854      480      24      22000     44.756   no   HTTP/3.0      0.000      0.191     46.516       2318.227          0.239
        13         3465          909            0          791         1828          830       207726        22542           bba2      2000    h264    1280      720      24      24000     44.701   no   HTTP/3.0      0.000      0.171     46.823       2913.718          0.281
        14         4708         1241            0         1032         1867         1159       289750        23299           bba2      2000    h264    1280      720      24      26000     44.769   no   HTTP/3.0      0.000      0.137     47.209       3704.900          0.335
