     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          127          126            0           45         1375           43        21660         4000    bba2XL-base      4000    h264     320      240      24          0     43.119   no   HTTP/3.0      0.000      0.000     45.117     -11954.774          0.045
         2          253          125            0           45         1512           47        23638         8000    bba2XL-base      4000    h264     320      240      24       4000     41.817   no   HTTP/3.0      0.000      0.235     35.917     -23909.548          0.045
         3          490          235            0           88         1726          101        50728        11764    bba2XL-base      4000    h264     320      240      24       8000     42.359   no   HTTP/3.0      0.000      0.213     36.049        135.678          0.060
         4          800          308            0          128         1771          136        68193        15455    bba2XL-base      4000    h264     320      240      24      12000     42.116   no   HTTP/3.0      0.000      0.212     36.168        224.461          0.077
         5         1187          385            0          177         1793          172        86336        19068    bba2XL-base      4000    h264     480      360      24      16000     42.212   no   HTTP/3.0      0.000      0.213     36.310        352.964          0.097
         6         1576          388            0          217         1793          173        86986        22679    bba2XL-base      4000    h264     480      360      24      20000     42.548   no   HTTP/3.0      0.000      0.218     36.450        530.401          0.117
         7         2201          623            0          255         1836          286       143054        26054    bba2XL-base      4000    h264     480      360      24      24000     42.233   no   HTTP/3.0      0.000      0.225     36.588        748.162          0.137
         8         3032          829            0          323         1853          384       192018        29224    bba2XL-base      4000    h264     480      360      24      28000     42.291   no   HTTP/3.0      0.000      0.228     36.754       1004.027          0.160
         9         3997          964            0          378         1862          448       224426        32259    bba2XL-base      4000    h264     480      360      24      32000     42.044   no   HTTP/3.0      0.000      0.232     36.925       1327.074          0.184
        10         5274         1276            0          509         1824          581       290930        34982    bba2XL-base      4000    h264     854      480      24      36000     41.935   no   HTTP/3.0      0.000      0.222     37.159       1705.429          0.217
        11         6727         1450            0          577         1875          679       339926        37530    bba2XL-base      4000    h264     854      480      24      40000     42.434   no   HTTP/3.0      0.000      0.221     37.390       2214.520          0.250
        12         8618         1890            0          782         1881          889       444517        39639    bba2XL-base      4000    h264    1280      720      24      44000     42.012   no   HTTP/3.0      0.000      0.199     37.711       2792.271          0.294
        13        33965        25345            0         1008          181         1152       576366        18292    bba2XL-base      4000    h264    1280      720      24      48000     42.325   no   HTTP/3.0      0.000      0.166     38.105       3574.824          0.349
        14        40477          213            0           45          860           45        22923        15780    bba2XL-base      4000    h264     320      240      24      52000     45.535   no   HTTP/3.0      0.000      0.135     38.004       2656.577          0.327
        15        40816          336            0           88          947           79        39779        19442    bba2XL-base      4000    h264     320      240      24      56000     41.547   no   HTTP/3.0      0.000      0.119     37.887       2701.803          0.311
        16        41300          483            0          128          947          114        57211        22958    bba2XL-base      4000    h264     320      240      24      60000     41.994   no   HTTP/3.0      0.000      0.114     37.801       2790.586          0.300
        17        42025          723            0          177          938          169        84814        26234    bba2XL-base      4000    h264     480      360      24      64000     41.992   no   HTTP/3.0      0.000      0.116     37.746       2919.089          0.293
        18        42845          819            0          217          938          192        96086        29414    bba2XL-base      4000    h264     480      360      24      68000     42.381   no   HTTP/3.0      0.000      0.123     37.713       3096.526          0.289
        19        43831          984            0          255          950          233       116857        32429    bba2XL-base      4000    h264     480      360      24      72000     42.058   no   HTTP/3.0      0.000      0.133     37.697       3314.287          0.287
        20        45444         1611            0          323          951          383       191548        34817    bba2XL-base      4000    h264     480      360      24      76000     42.188   no   HTTP/3.0      0.000      0.148     37.707       3570.152          0.289
        21        47363         1917            0          378          950          455       227873        36898    bba2XL-base      4000    h264     480      360      24      80000     42.334   no   HTTP/3.0      0.000      0.164     37.734       3893.199          0.293
        22        49041         1676            0          509          950          398       199081        39221    bba2XL-base      4000    h264     854      480      24      84000     42.173   no   HTTP/3.0      0.000      0.181     37.804       4271.554          0.303
        23        59486        10444            0          577          166          434       217385        32776    bba2XL-base      4000    h264     854      480      24      88000     41.005   no   HTTP/3.0      0.000      0.197     37.885       4780.645          0.315
        24        80558        21070            0          782          118          623       311645        15705    bba2XL-base      4000    h264    1280      720      24      92000    121.071   no   HTTP/3.0      0.000      0.203     38.025       5358.396          0.334
        25        81418          856            0          577         1787          382       191260        18845    bba2XL-base      4000    h264     854      480      24      96000     45.258   no   HTTP/3.0      0.000      0.219     38.095       5731.345          0.344
