     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          164          163            0           45         1571           42        32022         6000           bba2      6000    h264     320      240      24          0     48.793   no   HTTP/3.0      0.000      0.000     40.522     -17954.071          0.046
         2          342          177            0           45         1664           49        36817        12000           bba2      6000    h264     320      240      24       6000     42.939   no   HTTP/3.0      0.000      0.235     26.722     -35908.142          0.046
         3          670          327            0           89         1778           96        72680        17672           bba2      6000    h264     320      240      24      12000     41.782   no   HTTP/3.0      0.000      0.213     26.854        137.787          0.061
         4         1064          392            0          128         1804          117        88409        23279           bba2      6000    h264     320      240      24      18000     40.951   no   HTTP/3.0      0.000      0.213     26.972        227.507          0.078
         5         1687          621            0          178         1836          190       142557        28657           bba2      6000    h264     480      360      24      24000     42.153   no   HTTP/3.0      0.000      0.213     27.116        356.432          0.098
         6         2459          771            0          219         1849          237       178291        33885           bba2      6000    h264     480      360      24      30000     41.995   no   HTTP/3.0      0.000      0.218     27.258        535.024          0.118
         7         3381          918            0          258         1858          284       213300        38964           bba2      6000    h264     480      360      24      36000     42.298   no   HTTP/3.0      0.000      0.225     27.397        754.872          0.138
         8         4642         1259            0          320         1850          388       291231        43703           bba2      6000    h264     480      360      24      42000     42.074   no   HTTP/3.0      0.000      0.228     27.559       1012.934          0.161
         9         5868         1224            0          372         1842          375       281958        48478           bba2      6000    h264     480      360      24      48000     42.262   no   HTTP/3.0      0.000      0.233     27.724       1333.799          0.184
        10         7736         1867            0          513         1883          586       439532        52610           bba2      6000    h264     854      480      24      54000     42.048   no   HTTP/3.0      0.000      0.222     27.963       1706.203          0.217
        11        13142         5405            0          579          758          683       512575        53205           bba2      6000    h264     854      480      24      60000     41.989   no   HTTP/3.0      0.000      0.220     28.194       2220.128          0.250
        12        42639        29495            0          792          177          874       655889        29708           bba2      6000    h264    1280      720      24      66000    120.747   no   HTTP/3.0      0.000      0.197     28.521       2799.895          0.296
        13        49633         6991            0         1015          952         1109       832125        28715           bba2      6000    h264    1280      720      24      72000     44.085   no   HTTP/3.0      0.000      0.164     28.918       3592.443          0.351
        14        82130        32495         3782         1015          209         1134       850670         6000           bba2      6000    h264    1280      720      24      78000     44.112   no   HTTP/3.0      0.000      0.167     31.990      15953.513        -20.056
        15        84679         2545            0          792         1874          795       596349         9452           bba2      6000    h264    1280      720      24      84000     44.347   no   HTTP/3.0      0.000      0.198     32.095      16523.539        -20.063
        16        86835         2155            0          579         1868          670       503247        13296           bba2      6000    h264     854      480      24      90000     44.022   no   HTTP/3.0      0.000      0.228     29.516       5544.525          0.434
