     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1           63           62            0           46         1213           37         9404         2000   bba2XL-double      2000    h264     320      240      24          0     42.796   no   HTTP/3.0      0.000      0.000     49.724      -5953.681          0.046
         2          132           68            0           46         1264           42        10748         4000   bba2XL-double      2000    h264     320      240      24       2000     42.470   no   HTTP/3.0      0.000      0.232     45.124     -11907.362          0.046
         3          207           73            0           46         1321           48        12059         5926   bba2XL-double      2000    h264     320      240      24       4000     42.728   no   HTTP/3.0      0.000      0.232     45.124        138.957          0.046
         4          282           74            0           46         1336           49        12361         7851   bba2XL-double      2000    h264     320      240      24       6000     42.735   no   HTTP/3.0      0.000      0.232     45.124        185.276          0.046
         5          415          131            0           90         1477           96        24195         9719   bba2XL-double      2000    h264     320      240      24       8000     43.012   no   HTTP/3.0      0.000      0.213     45.217        231.595          0.055
         6          584          166            0          131         1647          136        34193        11551   bba2XL-double      2000    h264     320      240      24      10000     43.209   no   HTTP/3.0      0.000      0.204     45.305        322.150          0.068
         7          809          224            0          179         1684          188        47172        13326   bba2XL-double      2000    h264     480      360      24      12000     41.762   no   HTTP/3.0      0.000      0.198     45.418        453.482          0.084
         8         1092          281            0          221         1737          244        61047        15044   bba2XL-double      2000    h264     480      360      24      14000     44.270   no   HTTP/3.0      0.000      0.195     45.538        633.212          0.101
         9         1426          333            0          260         1764          293        73464        16710   bba2XL-double      2000    h264     480      360      24      16000     44.073   no   HTTP/3.0      0.000      0.196     45.662        854.827          0.119
        10         1801          372            0          327         1780          331        82796        18335   bba2XL-double      2000    h264     480      360      24      18000     44.587   no   HTTP/3.0      0.000      0.193     45.811       1115.550          0.140
        11         2124          321            0          382         1756          281        70489        20013   bba2XL-double      2000    h264     480      360      24      20000     44.744   no   HTTP/3.0      0.000      0.193     45.966       1443.243          0.162
        12         2631          505            0          523         1812          457       114435        21506   bba2XL-double      2000    h264     854      480      24      22000     44.093   no   HTTP/3.0      0.000      0.179     46.185       1825.358          0.192
        13         3328          695            0          594         1839          639       159790        22810   bba2XL-double      2000    h264     854      480      24      24000     44.412   no   HTTP/3.0      0.000      0.172     46.402       2348.769          0.223
        14         4085          755            0          795         1844          696       174096        24053   bba2XL-double      2000    h264    1280      720      24      26000     44.313   no   HTTP/3.0      0.000      0.149     46.699       2942.816          0.264
        15         5419         1333            0         1032         1870         1246       311698        24719   bba2XL-double      2000    h264    1280      720      24      28000     42.616   no   HTTP/3.0      0.000      0.113     47.068       3738.607          0.315
        16         6827         1406            0         1230         1869         1314       328563        25311   bba2XL-double      2000    h264    1280      720      24      30000     44.120   no   HTTP/3.0      0.000      0.080     47.475       4771.229          0.372
        17         9069         2240            0         1494         1883         2109       527499        25069   bba2XL-double      2000    h264    1280      720      24      32000     44.516   no   HTTP/3.0      0.000      0.042     47.946       6001.996          0.438
