     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1           78           77            0           46         1341           51        12908         2000           bba2      2000    h264     320      240      25          0     42.802   no   HTTP/3.0      0.000      0.000     49.727      -5953.222          0.047
         2          144           65            0           46         1229           39         9991         4000           bba2      2000    h264     320      240      25       2000     42.858   no   HTTP/3.0      0.000      0.240     45.127     -11906.444          0.047
         3          202           56            0           46         1157           32         8102         5943           bba2      2000    h264     320      240      25       4000     42.060   no   HTTP/3.0      0.000      0.240     45.127        140.334          0.047
         4          249           46            0           46          974           22         5603         7896           bba2      2000    h264     320      240      25       6000     42.521   no   HTTP/3.0      0.000      0.240     45.127        187.112          0.047
         5          381          130            0           91         1080           70        17566         9765           bba2      2000    h264     320      240      25       8000     42.759   no   HTTP/3.0      0.000      0.218     45.220        233.890          0.056
         6          557          175            0          134         1573          137        34415        11589           bba2      2000    h264     320      240      25      10000     43.576   no   HTTP/3.0      0.000      0.208     45.313        324.953          0.069
         7          777          218            0          185         1707          186        46525        13370           bba2      2000    h264     480      360      25      12000     42.794   no   HTTP/3.0      0.000      0.199     45.431        459.815          0.086
         8         1052          274            0          231         1745          239        59797        15095           bba2      2000    h264     480      360      25      14000     42.792   no   HTTP/3.0      0.000      0.196     45.559        645.571          0.104
         9         1375          321            0          276         1766          283        70875        16772           bba2      2000    h264     480      360      25      16000     43.805   no   HTTP/3.0      0.000      0.196     45.693        877.095          0.123
        10         1822          445            0          366         1801          400       100211        18325           bba2      2000    h264     480      360      25      18000     43.993   no   HTTP/3.0      0.000      0.188     45.869       1154.094          0.147
        11         2380          556            0          462         1827          507       126980        19767           bba2      2000    h264     854      480      25      20000     43.489   no   HTTP/3.0      0.000      0.178     46.073       1520.516          0.176
        12         3022          641            0          553         1838          589       147314        21125           bba2      2000    h264     854      480      25      22000     42.744   no   HTTP/3.0      0.000      0.170     46.296       1982.588          0.207
        13         3773          748            0          643         1843          689       172399        22375           bba2      2000    h264     854      480      25      24000     43.951   no   HTTP/3.0      0.000      0.164     46.533       2535.670          0.241
        14         4731          956            0          824         1854          886       221634        23418           bba2      2000    h264    1024      576      25      26000     43.952   no   HTTP/3.0      0.000      0.145     46.833       3179.328          0.283
        15         5891         1158            0         1005         1861         1078       269521        24258           bba2      2000    h264    1024      576      25      28000     44.538   no   HTTP/3.0      0.000      0.121     47.177       4003.829          0.331
        16         7409         1516            0         1267         1827         1385       346267        24740           bba2      2000    h264    1024      576      25      30000     44.344   no   HTTP/3.0      0.000      0.083     47.597       5009.565          0.389
        17         9185         1774            0         1519         1877         1665       416320        24964           bba2      2000    h264    1024      576      25      32000     43.948   no   HTTP/3.0      0.000      0.042     48.070       6277.379          0.456
        18        39718        30530         5568         1765          121         1858       464604         2000           bba2      2000    h264    1024      576      25      34000     44.407   no   HTTP/3.0      0.000      0.003     57.839      24500.818        -19.602
        19        43065         3341         1346         1519          926         1548       387117         2000           bba2      2000    h264    1024      576      25      36000     44.239   no   HTTP/3.0      0.000      0.025     59.808      29812.626        -19.530
        20        45679         2612          614         1267          950         1241       310381         2000           bba2      2000    h264    1024      576      25      38000     44.143   no   HTTP/3.0      0.000      0.066     52.117      15966.815        -19.802
        21        47992         2311          312         1005          950         1098       274550         2000           bba2      2000    h264    1024      576      25      40000     43.940   no   HTTP/3.0      0.000      0.109     50.646      13608.473        -20.317
        22        50914         2920          922          824          595          870       217506         2000           bba2      2000    h264    1024      576      25      42000     44.051   no   HTTP/3.0      0.000      0.143     51.060      15175.739        -20.097
        23        65479        14562        12564          643           95          692       173094         2000           bba2      2000    h264     854      480      25      44000    121.461   no   HTTP/3.0      0.000      0.166     66.719      52394.554        -19.426
        24        77907        12427        10427          553           95          590       147694         2000           bba2      2000    h264     854      480      25      46000    123.988   no   HTTP/3.0      0.000      0.181     77.613      81372.060        -19.403
        25        80393         2482          485          462          353          438       109531         2000           bba2      2000    h264     854      480      25      48000    119.376   no   HTTP/3.0      0.000      0.188     62.167      45506.122        -19.460
        26        80830          434            0          366         1799          390        97643         3564           bba2      2000    h264     480      360      25      50000     44.623   no   HTTP/3.0      0.000      0.187     49.815      14495.894        -21.780
        27        81167          335            0          276         1763          295        73851         5227           bba2      2000    h264     480      360      25      52000     45.272   no   HTTP/3.0      0.000      0.178     49.158      13228.470          0.609
        28        81457          286            0          231         1746          249        62438         6938           bba2      2000    h264     480      360      25      54000     43.157   no   HTTP/3.0      0.000      0.166     49.061      13414.519          0.595
        29        81674          215            0          185         1650          177        44367         8721           bba2      2000    h264     480      360      25      56000     44.147   no   HTTP/3.0      0.000      0.150     48.960      13554.507          0.581
        30        81894          217            0          185         1699          184        46107        10502           bba2      2000    h264     480      360      25      58000     43.837   no   HTTP/3.0      0.000      0.137     48.868      13740.263          0.568
        31        82160          264            0          231         1724          227        56905        12237           bba2      2000    h264     480      360      25      60000     44.387   no   HTTP/3.0      0.000      0.129     48.790      13926.019          0.557
        32        82482          320            0          276         1750          280        70031        13915           bba2      2000    h264     480      360      25      62000     45.155   no   HTTP/3.0      0.000      0.126     48.726      14157.543          0.548
        33        82890          405            0          366         1791          362        90674        15508           bba2      2000    h264     480      360      25      64000     44.096   no   HTTP/3.0      0.000      0.129     48.687      14434.542          0.543
        34        83425          533            0          462         1815          483       120949        16973           bba2      2000    h264     854      480      25      66000     44.740   no   HTTP/3.0      0.000      0.138     48.669      14800.964          0.540
        35        84059          631            0          553         1825          575       143962        18339           bba2      2000    h264     854      480      25      68000     45.360   no   HTTP/3.0      0.000      0.151     48.671      15263.036          0.541
        36        84811          749            0          643         1841          689       172453        19588           bba2      2000    h264     854      480      25      70000     44.107   no   HTTP/3.0      0.000      0.167     48.690      15816.118          0.544
        37        85741          925            0          824         1853          857       214349        20659           bba2      2000    h264    1024      576      25      72000     44.485   no   HTTP/3.0      0.000      0.185     48.745      16459.776          0.551
        38        86844         1099            0         1005         1862         1023       255857        21556           bba2      2000    h264    1024      576      25      74000     43.266   no   HTTP/3.0      0.000      0.204     48.830      17284.277          0.563
        39        88002         1154            0         1005         1811         1045       261378        22399           bba2      2000    h264    1024      576      25      76000     44.444   no   HTTP/3.0      0.000      0.221     48.909      18290.013          0.575
        40        89434         1428            0         1267         1851         1322       330574        22967           bba2      2000    h264    1024      576      25      78000     44.314   no   HTTP/3.0      0.000      0.234     49.033      19295.749          0.592
        41        90846         1409            0         1267         1870         1317       329396        23556           bba2      2000    h264    1024      576      25      80000     44.150   no   HTTP/3.0      0.000      0.248     49.149      20563.563          0.608
        42        92307         1459            0         1267         1858         1355       338995        24095           bba2      2000    h264    1024      576      25      82000     44.662   no   HTTP/3.0      0.000      0.262     49.259      21831.377          0.624
        43        93812         1504            0         1267         1829         1376       344011        24591           bba2      2000    h264    1024      576      25      84000     42.711   no   HTTP/3.0      0.000      0.277     49.363      23099.191          0.639
        44        95245         1429            0         1267         1871         1336       334218        25158           bba2      2000    h264    1024      576      25      86000     44.242   no   HTTP/3.0      0.000      0.291     49.464      24367.005          0.653
        45        96659         1410            0         1267         1870         1318       329693        25745           bba2      2000    h264    1024      576      25      88000     44.383   no   HTTP/3.0      0.000      0.306     49.559      25634.819          0.667
        46        98364         1700            0         1519         1875         1594       398582        26040           bba2      2000    h264    1024      576      25      90000     44.445   no   HTTP/3.0      0.000      0.315     49.691      26902.633          0.686
        47       100202         1835            0         1519         1856         1703       425915        26202           bba2      2000    h264    1024      576      25      92000     44.278   no   HTTP/3.0      0.000      0.324     49.815      28422.072          0.703
        48       101987         1783            0         1519         1869         1666       416628        26418           bba2      2000    h264    1024      576      25      94000     42.637   no   HTTP/3.0      0.000      0.335     49.934      29941.511          0.720
        49       103790         1800            0         1519         1878         1690       422642        26616           bba2      2000    h264    1024      576      25      96000     43.759   no   HTTP/3.0      0.000      0.347     50.049      31460.950          0.737
