     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          144          144            0           45         1203           43        21660         4000           bba2      4000    h264     320      240      24          0     41.661   no   HTTP/3.0      0.000      0.000     45.117     -11954.774          0.045
         2          270          126            0           45         1500           47        23638         8000           bba2      4000    h264     320      240      24       4000     41.333   no   HTTP/3.0      0.000      0.235     35.917     -23909.548          0.045
         3          513          241            0           88         1683          101        50728        11758           bba2      4000    h264     320      240      24       8000     42.863   no   HTTP/3.0      0.000      0.213     36.049        135.678          0.060
         4          825          311            0          128         1754          136        68193        15447           bba2      4000    h264     320      240      24      12000     44.140   no   HTTP/3.0      0.000      0.212     36.168        224.461          0.077
         5         1214          387            0          177         1784          172        86336        19059           bba2      4000    h264     480      360      24      16000     44.248   no   HTTP/3.0      0.000      0.213     36.310        352.964          0.097
         6         1638          423            0          217         1645          173        86986        22635           bba2      4000    h264     480      360      24      20000     44.257   no   HTTP/3.0      0.000      0.218     36.450        530.401          0.117
         7         2264          625            0          255         1831          286       143054        26009           bba2      4000    h264     480      360      24      24000     44.459   no   HTTP/3.0      0.000      0.225     36.588        748.162          0.137
         8         3097          831            0          323         1848          384       192018        29177           bba2      4000    h264     480      360      24      28000     44.470   no   HTTP/3.0      0.000      0.228     36.754       1004.027          0.160
         9         4064          965            0          378         1860          448       224426        32210           bba2      4000    h264     480      360      24      32000     43.434   no   HTTP/3.0      0.000      0.232     36.925       1327.074          0.184
        10         5311         1245            0          509         1869          581       290930        34964           bba2      4000    h264     854      480      24      36000     43.854   no   HTTP/3.0      0.000      0.222     37.159       1705.429          0.217
        11         6790         1477            0          577         1841          679       339926        37485           bba2      4000    h264     854      480      24      40000     44.436   no   HTTP/3.0      0.000      0.221     37.390       2214.520          0.250
        12         8683         1892            0          782         1879          889       444517        39592           bba2      4000    h264    1280      720      24      44000     44.619   no   HTTP/3.0      0.000      0.199     37.711       2792.271          0.294
        13        36543        27858            0         1008          165         1152       576366        15733           bba2      4000    h264    1280      720      24      48000     44.283   no   HTTP/3.0      0.000      0.166     38.105       3574.824          0.349
        14        43270         6724            0          782          517          869       434701        13007           bba2      4000    h264    1280      720      24      52000    120.089   no   HTTP/3.0      0.000      0.192     38.330       4131.231          0.380
        15        44709         1437            0          577          949          341       170551        15568           bba2      4000    h264     854      480      24      56000     44.429   no   HTTP/3.0      0.000      0.222     38.428       4504.180          0.393
        16        46492         1782            0          509          948          422       211355        17785           bba2      4000    h264     854      480      24      60000     45.065   no   HTTP/3.0      0.000      0.248     38.477       4944.611          0.400
        17        48565         2071            0          509          950          491       245942        19713           bba2      4000    h264     854      480      24      64000     44.556   no   HTTP/3.0      0.000      0.271     38.521       5453.702          0.407
        18        57839         9273            0          577          215          498       249346        14439           bba2      4000    h264     854      480      24      68000     44.029   no   HTTP/3.0      0.000      0.294     38.586       5962.793          0.416
        19        78042        20201         5764          509           95          480       240154         4000           bba2      4000    h264     854      480      24      72000    127.650   no   HTTP/3.0      0.000      0.313     43.142      23695.224        -19.846
        20        81150         3105            0          378          621          482       241046         4893           bba2      4000    h264     480      360      24      76000    120.524   no   HTTP/3.0      0.000      0.322     42.941      23942.843        -19.862
        21        81986          834            0          323         1847          385       192563         8057           bba2      4000    h264     480      360      24      80000     44.936   no   HTTP/3.0      0.000      0.325     38.571       6918.582          0.415
        22        82454          466            0          255         1797          209       104693        11590           bba2      4000    h264     480      360      24      84000     45.653   no   HTTP/3.0      0.000      0.322     38.519       7107.265          0.407
        23        82908          453            0          217         1653          187        93636        15136           bba2      4000    h264     480      360      24      88000     44.147   no   HTTP/3.0      0.000      0.314     38.460       7286.922          0.399
        24        83329          419            0          255         1783          186        93422        18715           bba2      4000    h264     480      360      24      92000     47.043   no   HTTP/3.0      0.000      0.312     38.416       7504.683          0.393
