     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1           78           77            0           46         1341           51        12908         2000   bba2XL-double      2000    h264     320      240      25          0     42.709   no   HTTP/3.0      0.000      0.000     49.727      -5953.222          0.047
         2          144           65            0           46         1229           39         9991         4000   bba2XL-double      2000    h264     320      240      25       2000     42.942   no   HTTP/3.0      0.000      0.240     45.127     -11906.444          0.047
         3          202           57            0           46         1137           32         8102         5942   bba2XL-double      2000    h264     320      240      25       4000     43.078   no   HTTP/3.0      0.000      0.240     45.127        140.334          0.047
         4          250           46            0           46          974           22         5603         7895   bba2XL-double      2000    h264     320      240      25       6000     42.826   no   HTTP/3.0      0.000      0.240     45.127        187.112          0.047
         5          383          131            0           91         1072           70        17566         9762   bba2XL-double      2000    h264     320      240      25       8000     43.949   no   HTTP/3.0      0.000      0.218     45.220        233.890          0.056
         6          554          169            0          134         1629          137        34415        11591   bba2XL-double      2000    h264     320      240      25      10000     44.109   no   HTTP/3.0      0.000      0.208     45.313        324.953          0.069
         7          776          220            0          185         1691          186        46525        13370   bba2XL-double      2000    h264     480      360      25      12000     44.188   no   HTTP/3.0      0.000      0.199     45.431        459.815          0.086
         8         1053          276            0          231         1733          239        59797        15093   bba2XL-double      2000    h264     480      360      25      14000     45.511   no   HTTP/3.0      0.000      0.196     45.559        645.571          0.104
         9         1376          322            0          276         1760          283        70875        16771   bba2XL-double      2000    h264     480      360      25      16000     44.430   no   HTTP/3.0      0.000      0.196     45.693        877.095          0.123
        10         1856          479            0          366         1673          400       100211        18291   bba2XL-double      2000    h264     480      360      25      18000     43.388   no   HTTP/3.0      0.000      0.188     45.869       1154.094          0.147
        11         2418          560            0          462         1813          507       126980        19730   bba2XL-double      2000    h264     854      480      25      20000     47.125   no   HTTP/3.0      0.000      0.178     46.073       1520.516          0.176
        12         3064          644            0          553         1829          589       147314        21085   bba2XL-double      2000    h264     854      480      25      22000     45.266   no   HTTP/3.0      0.000      0.170     46.296       1982.588          0.207
        13         3814          748            0          643         1843          689       172399        22335   bba2XL-double      2000    h264     854      480      25      24000     44.173   no   HTTP/3.0      0.000      0.164     46.533       2535.670          0.241
        14         4773          957            0          824         1852          886       221634        23377   bba2XL-double      2000    h264    1024      576      25      26000     44.229   no   HTTP/3.0      0.000      0.145     46.833       3179.328          0.283
        15         5933         1158            0         1005         1861         1078       269521        24217   bba2XL-double      2000    h264    1024      576      25      28000     44.483   no   HTTP/3.0      0.000      0.121     47.177       4003.829          0.331
        16         7415         1481            0         1267         1870         1385       346267        24735   bba2XL-double      2000    h264    1024      576      25      30000     44.704   no   HTTP/3.0      0.000      0.083     47.597       5009.565          0.389
        17         9193         1775            0         1519         1876         1665       416320        24958   bba2XL-double      2000    h264    1024      576      25      32000     44.387   no   HTTP/3.0      0.000      0.042     48.070       6277.379          0.456
        18        29858         1623            0           46           59           48        12157         6293   bba2XL-double      2000    h264     320      240      25      34000    716.850   no   HTTP/3.0      0.000      0.014     47.979       4851.496          0.433
        19        30858          996            0           46           94           47        11779         7294   bba2XL-double      2000    h264     320      240      25      36000    120.718   no   HTTP/3.0      0.000      0.000     47.837       4898.274          0.413
        20        32893         2033            0           91           94           96        24114         7259   bba2XL-double      2000    h264     320      240      25      38000    121.887   no   HTTP/3.0      0.000      0.000     47.717       4945.052          0.397
        21        34971         2076            0           91           94           98        24629         7182   bba2XL-double      2000    h264     320      240      25      40000    122.947   no   HTTP/3.0      0.000      0.000     47.615       5036.115          0.382
        22        37062         2089            0           91           94           98        24742         7092   bba2XL-double      2000    h264     320      240      25      42000    121.555   no   HTTP/3.0      0.000      0.000     47.522       5127.178          0.369
