     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1           82           81            0           45         1283           52        13000         2000    bba2XL-base      2000    h264     320      240      24          0     42.570   no   HTTP/3.0      0.000      0.000     49.720      -5954.348          0.046
         2          141           58            0           45         1164           33         8442         4000    bba2XL-base      2000    h264     320      240      24       2000     42.635   no   HTTP/3.0      0.000      0.231     45.120     -11908.696          0.046
         3          214           72            0           45         1291           46        11623         5927    bba2XL-base      2000    h264     320      240      24       4000     42.857   no   HTTP/3.0      0.000      0.231     45.120        136.956          0.046
         4          285           69            0           45         1285           44        11088         7857    bba2XL-base      2000    h264     320      240      24       6000     42.771   no   HTTP/3.0      0.000      0.231     45.120        182.608          0.046
         5          415          129            0           89         1500           96        24192         9727    bba2XL-base      2000    h264     320      240      24       8000     42.817   no   HTTP/3.0      0.000      0.212     45.211        228.260          0.054
         6          596          179            0          131         1669          149        37361        11547    bba2XL-base      2000    h264     320      240      24      10000     41.855   no   HTTP/3.0      0.000      0.203     45.300        317.543          0.067
         7          790          193            0          178         1683          162        40625        13353    bba2XL-base      2000    h264     480      360      24      12000     41.837   no   HTTP/3.0      0.000      0.197     45.412        448.630          0.083
         8         1068          277            0          221         1744          241        60411        15075    bba2XL-base      2000    h264     480      360      24      14000     43.316   no   HTTP/3.0      0.000      0.194     45.533        626.981          0.100
         9         1351          282            0          262         1738          245        61298        16792    bba2XL-base      2000    h264     480      360      24      16000     44.264   no   HTTP/3.0      0.000      0.194     45.659        848.581          0.118
        10         1623          270            0          334         1736          234        58617        18521    bba2XL-base      2000    h264     480      360      24      18000     43.945   no   HTTP/3.0      0.000      0.191     45.814       1111.118          0.140
        11         1945          320            0          396         1756          280        70244        20199    bba2XL-base      2000    h264     480      360      24      20000     44.775   no   HTTP/3.0      0.000      0.189     45.978       1445.467          0.163
        12         2380          433            0          522         1799          389        97393        21765    bba2XL-base      2000    h264     854      480      24      22000     44.423   no   HTTP/3.0      0.000      0.177     46.194       1841.593          0.193
        13         3127          743            0          595         1843          684       171230        23019    bba2XL-base      2000    h264     854      480      24      24000     44.491   no   HTTP/3.0      0.000      0.171     46.412       2363.879          0.224
        14         4045          917            0          791         1851          848       212222        24101    bba2XL-base      2000    h264    1280      720      24      26000     44.233   no   HTTP/3.0      0.000      0.150     46.705       2959.370          0.265
        15         5286         1239            0         1032         1831         1134       283605        24861    bba2XL-base      2000    h264    1280      720      24      28000     44.453   no   HTTP/3.0      0.000      0.114     47.074       3750.552          0.316
        16         6924         1637            0         1244         1874         1534       383619        25223    bba2XL-base      2000    h264    1280      720      24      30000     44.077   no   HTTP/3.0      0.000      0.079     47.487       4783.234          0.374
        17         8911         1984            0         1546         1880         1865       466331        25237    bba2XL-base      2000    h264    1280      720      24      32000     44.152   no   HTTP/3.0      0.000      0.033     47.981       6028.012          0.443
        18        29768         1546            0           45           58           44        11210         6380    bba2XL-base      2000    h264     320      240      24      34000    715.584   no   HTTP/3.0      0.000      0.010     47.896       4572.414          0.421
        19        30835         1064            0           45           94           50        12549         7313    bba2XL-base      2000    h264     320      240      24      36000    120.792   no   HTTP/3.0      0.000      0.000     47.758       4618.066          0.401
        20        32936         2098            0           89           95           99        24929         7213    bba2XL-base      2000    h264     320      240      24      38000    121.444   no   HTTP/3.0      0.000      0.000     47.641       4663.718          0.385
        21        34791         1853            0           89           94           88        22000         7358    bba2XL-base      2000    h264     320      240      24      40000    121.782   no   HTTP/3.0      0.000      0.000     47.542       4753.001          0.371
        22        36453         1660            0           89           94           78        19650         7697    bba2XL-base      2000    h264     320      240      24      42000    121.775   no   HTTP/3.0      0.000      0.000     47.452       4842.284          0.359
        23        39437         2981            0          131           95          141        35423         6713    bba2XL-base      2000    h264     320      240      24      44000    120.100   no   HTTP/3.0      0.000      0.000     47.376       4931.567          0.349
        24        39742          302            0           89          647           97        24444         8409    bba2XL-base      2000    h264     320      240      24      46000     44.314   no   HTTP/3.0      0.000      0.000     47.294       4979.046          0.338
        25        40052          309            0          131          905          139        34990        10099    bba2XL-base      2000    h264     320      240      24      48000     42.563   no   HTTP/3.0      0.000      0.000     47.231       5068.329          0.330
        26        40444          390            0          178          941          183        45911        11708    bba2XL-base      2000    h264     480      360      24      50000     43.734   no   HTTP/3.0      0.000      0.000     47.185       5199.416          0.324
        27        40897          452            0          221          942          213        53277        13255    bba2XL-base      2000    h264     480      360      24      52000     44.499   no   HTTP/3.0      0.000      0.000     47.154       5377.767          0.320
        28        41528          629            0          262          946          297        74397        14625    bba2XL-base      2000    h264     480      360      24      54000     43.654   no   HTTP/3.0      0.000      0.000     47.136       5599.367          0.318
