     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1           63           62            0           46         1213           37         9404         2000    bba2XL-base      2000    h264     320      240      24          0     42.301   no   HTTP/3.0      0.000      0.000     49.724      -5953.681          0.046
         2          131           67            0           46         1283           42        10748         4000    bba2XL-base      2000    h264     320      240      24       2000     41.914   no   HTTP/3.0      0.000      0.232     45.124     -11907.362          0.046
         3          205           73            0           46         1321           48        12059         5926    bba2XL-base      2000    h264     320      240      24       4000     42.645   no   HTTP/3.0      0.000      0.232     45.124        138.957          0.046
         4          282           75            0           46         1318           49        12361         7850    bba2XL-base      2000    h264     320      240      24       6000     42.888   no   HTTP/3.0      0.000      0.232     45.124        185.276          0.046
         5          412          128            0           90         1512           96        24195         9720    bba2XL-base      2000    h264     320      240      24       8000     42.218   no   HTTP/3.0      0.000      0.213     45.217        231.595          0.055
         6          579          166            0          131         1647          136        34193        11553    bba2XL-base      2000    h264     320      240      24      10000     41.834   no   HTTP/3.0      0.000      0.204     45.305        322.150          0.068
         7          801          220            0          179         1715          188        47172        13332    bba2XL-base      2000    h264     480      360      24      12000     41.494   no   HTTP/3.0      0.000      0.198     45.418        453.482          0.084
         8         1080          278            0          221         1756          244        61047        15053    bba2XL-base      2000    h264     480      360      24      14000     42.174   no   HTTP/3.0      0.000      0.195     45.538        633.212          0.101
         9         1411          330            0          260         1780          293        73464        16723    bba2XL-base      2000    h264     480      360      24      16000     41.474   no   HTTP/3.0      0.000      0.196     45.662        854.827          0.119
        10         1782          370            0          327         1790          331        82796        18352    bba2XL-base      2000    h264     480      360      24      18000     42.025   no   HTTP/3.0      0.000      0.193     45.811       1115.550          0.140
        11         2102          318            0          382         1773          281        70489        20033    bba2XL-base      2000    h264     480      360      24      20000     42.427   no   HTTP/3.0      0.000      0.193     45.966       1443.243          0.162
        12         2641          537            0          523         1704          457       114435        21495    bba2XL-base      2000    h264     854      480      24      22000     42.302   no   HTTP/3.0      0.000      0.179     46.185       1825.358          0.192
        13         3334          693            0          594         1844          639       159790        22802    bba2XL-base      2000    h264     854      480      24      24000     41.324   no   HTTP/3.0      0.000      0.172     46.402       2348.769          0.223
        14         4090          754            0          795         1847          696       174096        24047    bba2XL-base      2000    h264    1280      720      24      26000     42.208   no   HTTP/3.0      0.000      0.149     46.699       2942.816          0.264
        15         5424         1332            0         1032         1872         1246       311698        24713    bba2XL-base      2000    h264    1280      720      24      28000     42.043   no   HTTP/3.0      0.000      0.113     47.068       3738.607          0.315
        16         6829         1403            0         1230         1873         1314       328563        25308    bba2XL-base      2000    h264    1280      720      24      30000     42.499   no   HTTP/3.0      0.000      0.080     47.475       4771.229          0.372
        17         9072         2240            0         1494         1883         2109       527499        25066    bba2XL-base      2000    h264    1280      720      24      32000     42.399   no   HTTP/3.0      0.000      0.042     47.946       6001.996          0.438
        18        29683         1509            0           46           57           43        10806         6455    bba2XL-base      2000    h264     320      240      24      34000    715.385   no   HTTP/3.0      0.000      0.019     47.860       4599.824          0.416
        19        30709         1022            0           46           94           48        12094         7430    bba2XL-base      2000    h264     320      240      24      36000    120.689   no   HTTP/3.0      0.000      0.000     47.724       4646.143          0.397
        20        32589         1878            0           90           95           89        22317         7551    bba2XL-base      2000    h264     320      240      24      38000    121.149   no   HTTP/3.0      0.000      0.000     47.609       4692.462          0.382
        21        35642         3052            0          131           94          144        36185         6498    bba2XL-base      2000    h264     320      240      24      40000    123.311   no   HTTP/3.0      0.000      0.000     47.519       4783.017          0.370
        22        37663         2020            0           90           94           95        23915         6478    bba2XL-base      2000    h264     320      240      24      42000    124.031   no   HTTP/3.0      0.000      0.000     47.424       4832.795          0.357
        23        38629          964            0           46           93           45        11302         7512    bba2XL-base      2000    h264     320      240      24      44000    126.762   no   HTTP/3.0      0.000      0.000     47.324       4834.878          0.344
        24        39550          918            0           90          215           98        24699         8592    bba2XL-base      2000    h264     320      240      24      46000    121.299   no   HTTP/3.0      0.000      0.000     47.246       4881.197          0.333
        25        39951          398            0          131          719          143        35780        10191    bba2XL-base      2000    h264     320      240      24      48000     43.989   no   HTTP/3.0      0.000      0.000     47.185       4971.752          0.325
        26        40362          409            0          179          944          193        48279        11781    bba2XL-base      2000    h264     480      360      24      50000     44.134   no   HTTP/3.0      0.000      0.000     47.142       5103.084          0.319
        27        40870          508            0          221          948          240        60216        13273    bba2XL-base      2000    h264     480      360      24      52000     42.508   no   HTTP/3.0      0.000      0.000     47.113       5282.814          0.316
        28        41443          569            0          260          945          268        67244        14701    bba2XL-base      2000    h264     480      360      24      54000     44.160   no   HTTP/3.0      0.000      0.000     47.096       5504.429          0.314
        29        42249          804            0          327          947          380        95229        15896    bba2XL-base      2000    h264     480      360      24      56000     44.211   no   HTTP/3.0      0.000      0.000     47.097       5765.152          0.314
        30        43277         1026            0          382          948          486       121604        16868    bba2XL-base      2000    h264     480      360      24      58000     44.580   no   HTTP/3.0      0.000      0.006     47.111       6092.845          0.317
        31        44656         1377            0          523          949          653       163430        17489    bba2XL-base      2000    h264     854      480      24      60000     44.122   no   HTTP/3.0      0.000      0.022     47.158       6474.960          0.323
        32        46032         1374            0          594          949          652       163000        18114    bba2XL-base      2000    h264     854      480      24      62000     44.162   no   HTTP/3.0      0.000      0.038     47.215       6998.371          0.332
        33        47841         1806            0          795          949          857       214445        18306    bba2XL-base      2000    h264    1280      720      24      64000     44.397   no   HTTP/3.0      0.000      0.051     47.315       7592.418          0.346
        34        57449         9606            0         1032          240         1155       288976        10698    bba2XL-base      2000    h264    1280      720      24      66000     44.430   no   HTTP/3.0      0.000      0.057     47.459       8388.209          0.366
        35        63798         1585            0           46           58           46        11689         6350    bba2XL-base      2000    h264     320      240      24      68000    716.558   no   HTTP/3.0      0.000      0.048     47.415       7448.225          0.357
        36        64783          984            0           46           93           46        11522         7366    bba2XL-base      2000    h264     320      240      24      70000    123.360   no   HTTP/3.0      0.000      0.039     47.355       7494.544          0.348
        37        66861         2076            0           90           94           98        24589         7289    bba2XL-base      2000    h264     320      240      24      72000    121.592   no   HTTP/3.0      0.000      0.035     47.303       7540.863          0.341
        38        68838         1974            0           90           94           93        23402         7312    bba2XL-base      2000    h264     320      240      24      74000    119.758   no   HTTP/3.0      0.000      0.030     47.257       7631.418          0.335
        39        70983         2143            0           90           94          101        25403         7168    bba2XL-base      2000    h264     320      240      24      76000    123.502   no   HTTP/3.0      0.000      0.026     47.213       7721.973          0.328
        40        73059         2074            0           90           94           98        24563         7092    bba2XL-base      2000    h264     320      240      24      78000    121.376   no   HTTP/3.0      0.000      0.023     47.172       7812.528          0.322
        41        75077         2015            0           90           94           95        23899         7075    bba2XL-base      2000    h264     320      240      24      80000    121.202   no   HTTP/3.0      0.000      0.020     47.132       7903.083          0.317
        42        77121         2043            0           90           94           96        24210         7032    bba2XL-base      2000    h264     320      240      24      82000    123.866   no   HTTP/3.0      0.000      0.017     47.094       7993.638          0.311
